text,label
"As the previous case shows, the frontal lobes of the brain play an important role in initiating behavior, and this function can be [PET_BOUNDARY]disabled[PET_BOUNDARY] if they are damaged. However, the evidence shows that the frontal lobes play an equally important part in inhibiting behavior, and this function can also be disabled by frontal lobe damage. ",0
"Certain wide-eyed idealists love to hold up Mahatma Gandhi as proof that this is false, but what none of them seem to understand is that his opponent-- The British Empire-- was only interested in colonization and subjugation, not genocide. Had their goal been to [PET_BOUNDARY]exterminate[PET_BOUNDARY] the people of India, you can bet your last rupee that Ghandi's nonviolent crusade would have come to a swift and horrible end. ",1
"Roy, his brother, claimed that Pesman-Rubin hired Walt as a personal favor to Roy who handled the agency's account at the bank Roy worked at. Walter lasted a month until the advertising agency [PET_BOUNDARY]let him go[PET_BOUNDARY] due to Walt's'singular lack of drawing ability.? @ @ @ @ @ @ @ @ @ @ Walt and Roy had together $290. They borrowed $500 from another Disney, one of their uncles named Robert Disney and began to try to make cartoons.",1
"I don't know if I'm prego but I have been exhausted, moody, slightly nauseous and my nipples are sore (not my entire chest though...). We would be thrilled to be [PET_BOUNDARY]expecting[PET_BOUNDARY], but I don't want to get my hopes up. How much longer should I wait before I take another HPT? &A:; When to take a pregnancy test? ",1
"Rice is very inexpensive, beans are very inexpensive; low in fat, very filling.... Fruits and vegetables in season can be very inexpensive, ""she said. But "" the fear of hunger and the fear of spoilage of food is one of those things "" that hold people back: "" What if I put my paycheck into these things and they [PET_BOUNDARY]perish[PET_BOUNDARY]?"" ",0
"The sophomore laughed that he wasn't supposed to hold onto the ball when quarterback Bryan Bennett handed off to him in the third quarter Saturday night against Arizona. Neither Lyerla nor Bennett would [PET_BOUNDARY]let go[PET_BOUNDARY], so both scored together from a yard out.",0
"good god, when all fails christian bash and distort the truth to fit your twisted agenda. the christian faith believes that it is wrong for male or female to [PET_BOUNDARY]sleep around[PET_BOUNDARY]. i married as a virgin as a virgin, and i can tell you this society glorifies slutty behavior and @ @ @ @ @ @ @ @ @ @ and responsible thing and resist the urge to have sex until they are fully willing to deal with the consequences therein.",1
"Some facilities in the storm's trajectory, such as the nation's oldest nuclear have already [PET_BOUNDARY]pulled the plug[PET_BOUNDARY] for other reasons. In that case, routine maintenance has already allowed the facility a few days to cool down and will likely spare South Jersey from any otherwise imminent disaster. Across the East Coast, though, other sites might still pose a risk.",0
"""once the parents get older and [PET_BOUNDARY]pass away[PET_BOUNDARY], who is going to take care of the children?"" asked ginnifer daugherty, whose brother has autism.",1
"In order to sin you have to have a certain amount of knowledge and understanding, have a mind, have the ability to choose to do it or refrain from doing it. These things are all true of angels and humans who have the necessary mental ability (I say necessary because some human persons, babies and the mentally [PET_BOUNDARY]disabled[PET_BOUNDARY] lack the necessary mental ability to sin). ",1
If he is not free to exactly as an arrest. His liberty is being [PET_BOUNDARY]deprived[PET_BOUNDARY] by an agent of the state.,0
"Matthew In 2008, my first fianc [PET_BOUNDARY]passed away[PET_BOUNDARY] after a car accident. I was devastated. ",1
"Yes @ @ @ @ @ @ @ @ @ @ pointless; The Wire must be seen, heard, and absorbed to fully appreciate the way in which over 40 characters are flawlessly incorporated into a sprawling but tightly disciplined plot that deals, in the larger sense, with the deindustrialization of America and the struggle of longshoremen in a changing [PET_BOUNDARY]economical[PET_BOUNDARY] climate. Offering a privileged and occasionally frightening glimpse of the inner workings of shipping ports and cargo transports",0
"Gold does not increase by trial in the fire, it becomes less; but faith is made firm, and multiplied, by troubles and afflictions. Gold must [PET_BOUNDARY]perish[PET_BOUNDARY] at last, and can only purchase perishing things, while the trial of faith will be found to praise, and honour, and glory. Let this reconcile us to present afflictions. ",0
"unofficial reports by neighbors said that four residents in the -unit building have died since hurricane sandy, including a couple who [PET_BOUNDARY]expired[PET_BOUNDARY] from carbon monoxide poisoning after using their oven to stay warm. all of the deaths occurred in the first week after the storm.",1
"He got up and peeked blearily through window blinds and @ @ @ @ @ @ @ @ @ @ and then the apartment. Still addled to the point of uselessness, I [PET_BOUNDARY]let him go[PET_BOUNDARY], not thinking of what a terrible idea it was to walk outside. Just a day earlier, across the country, I had been a competent person-- I knew how to navigate delicate conversations with doctors, how to make my father laugh, how to help my stepmother carry him from the bedroom to the living room, where there was more light, a view of the Hudson. ",0
"Mainstream election experts say that Spakovsky has had an improbably large impact. Richard L. Hasen, a law professor at the University of California at Irvine, and the author of a recent book, ""The Voting Wars, "" says, "" Before 2000, there were some rumblings about Democratic voter fraud, but @ @ @ @ @ @ @ @ @ @ But thanks to von Spakovsky and the flame-fanning of a few others, the myth that Democratic voter fraud is common, and that it helps Democrats win elections, has become part of the Republican orthodoxy. "" In December, Reince Priebus, the chairman of the Republican National Committee, wrote, "" Election fraud is a real and persistent threat to our electoral system. "" He accused Democrats of "" standing up for potential fraud-- presumably because ending it would disenfranchise at least two of its core constituencies: the [PET_BOUNDARY]deceased[PET_BOUNDARY] and double-voters. "" Hasen believes that Democrats, for their part, have made exaggerated claims about the number of voters who may be disenfranchised by Republican election-security measures. But he regards the conservative alarmists as more successful. "" Their job is really done, "" Hasen says. "" It's common now to assert that there is a need for voter I.D.s, even without any evidence."" ",1
"things grow old and [PET_BOUNDARY]pass away[PET_BOUNDARY], and new things come!",0
"We are setting forth hopefully, a blueprint for our future. There are some who say it is a coroner's report that will lead to our [PET_BOUNDARY]demise[PET_BOUNDARY]. "" ",1
"Another disease [PET_BOUNDARY]passed on[PET_BOUNDARY] through rat urine is hantavirus. It is transmitted to humans through breathing in particles of an infected rodent's urine, droppings or saliva. The virus becomes airborne when excrement dries. Early symptoms mimic the flu and can progress to respiratory failure. Since 1993, 21 deaths in the United States have been blamed on this disease.",0
": yet a little while is the light with you. he refuses to answer their questions directly, but imparts to them needed truths. the light was then present with them. let them seek the light and walk in it while they had opportunity. the opportunity might soon [PET_BOUNDARY]pass away[PET_BOUNDARY] and the darkness come.",0
"Sir! you have your myopic and misguided thought about the Ethiopian society in particular and the world in general. What do you mean when @ @ @ @ @ @ @ @ @ @ Ethiopia's [PET_BOUNDARY]economical[PET_BOUNDARY] activity. "" Do you remember the Ethiopian urban economic activity was under the control of the muslims. Is your resentment based why the Sheria law practiced in Ethiopia. ",0
"On the package boxes containing this batch of medical supplies in support of Italy was printed the verse ""As the sea of clouds dance around the morning sun, the skies abound with the magnificence of spring"", which has been adapted from a poem from the [PET_BOUNDARY]late[PET_BOUNDARY] Ming dynasty Li Rihua to Italian missionary Matteo Ricci. The original poem runs, "" As the sea of clouds dance around the morning sun, you travel down the stream beneath @ @ @ @ @ @ @ @ @ @ West, on a lone raft undulating to the East. ",1
"On this 11th anniversary of 9/11, we remember the thousands who were slain, the brave souls who [PET_BOUNDARY]perished[PET_BOUNDARY] while rushing into harms way to save them, and those who have fallen in far away lands, in defense of our nation, in the 11 years since. We honor their memories, and pray for the families they left behind. ",1
"I can say, everything wrong to your body pregnancy contributes to, I must have had happen. And then, 2 of the little buggers didn't want to come out, so I was carrying for more than full term... I am so happy to NEVER go through it again and happy to share with anyone [PET_BOUNDARY]expecting[PET_BOUNDARY]. Melodie recently posted.. Am I Autistic too? ",1
"Well, as I stated previously, I heard an undercurrent of inexplicable anger and emotion that I thought far transcended the nature of the so-called ""crime."" Hate without reason, as it were, if not ""zealotry"" (although I never actually said she was a zealot, only that I see a similarity in her moral outrage to zealots. I also never said she was psycho, but forgive me if I [PET_BOUNDARY]pass on[PET_BOUNDARY] the kool-aid at her party)",0
"What is to be done? While there is a certain grim fun to be had in it, dancing on the grave of copyright and patent will solve little, especially when so few are willing to admit that the occupant of this grave is even [PET_BOUNDARY]deceased[PET_BOUNDARY], and so many are trying to uphold by force what can no longer be upheld by popular consent. ",1
That was years ago. He is now [PET_BOUNDARY]expecting[PET_BOUNDARY] a child with my sister and still doesn't want to commit to living together in the same house. They both have seperate apartments a block away from each other.,1
"They had long ago interacted with earth and our ""Secondary World"" of aliens with big domed heads and black eyes. Voltar and his people felt that man was being manipulated by the Secondary World aliens, and planned to use Brian in a test project to free mankind from the ""Secondary World"" aliens and their plan to [PET_BOUNDARY]exterminate[PET_BOUNDARY] mankind beginning on ",1
tech companies come with the luxury of artificial timelines. a tech company can leave a position unfilled for months or even years without any significant impact to the bottom line. your software codebase isn't going to shrivel up and die or your warehouse of stock isn't going to [PET_BOUNDARY]expire[PET_BOUNDARY] if it takes an additional month or two to complete a feature.,0
"Working copies can be stored on NFS (one common scenario is when your home directory is on a @ @ @ @ @ @ @ @ @ @ to the volume of renames used internally in Subversion when checking out files, some users have reported that' subtree checking' should be [PET_BOUNDARY]disabled[PET_BOUNDARY] ( it's enabled by default). Please see NFS Howto Server Guide and exports(5) for more information on how to disable subtree checking. ",0
"That's why Bird and Abrams are nowhere near this. Disney don't want anyone whose name will generate any level of expectation. Also, if they [PET_BOUNDARY]passed on[PET_BOUNDARY] Trevorrow that proves that they don't just want a fanboy. Experience with tech is gon na be top of the fucking list. They want FAST filmmaking, videogame/music video style. There's no time for anyone with credibility to piece this shit together. Maybe we'll get",0
"I give her a look. ""In time for what? He slid into a ditch. It's not like someone's waiting at the hospital to [PET_BOUNDARY]pull the plug[PET_BOUNDARY] on him.""",1
"i had the same clearance until i got out of the army for medical reasons last october, causing a loss of jurisdiction. my clearance hit the year mark in the beginning of this year, causing it to actually [PET_BOUNDARY]expire[PET_BOUNDARY].",0
"That's not to say that I can't be sold on new features I don't yet know I would like, but save for that, Windows 7 brought about some ridiculously awesome changes (taskbar enhancements, etc.) that have left me happier than @ @ @ @ @ @ @ @ @ @ with Windows 8, there's speculation that Sinofsky screwed the pooch, and that, specifically, landed him on his rear-end in the alleyway behind 1 Microsoft Way; however, I don't buy that-- primarly because Julie Larson-Green was (so far) placed in his position and arguably had as much (if not more) to do with Windows 8 as Sinofsky. Regardless of the reason why Steven was [PET_BOUNDARY]let go of[PET_BOUNDARY], I'm happy that the Windows reigns are shifting to someone else who, I hope, will champion a mentality somewhere between the Allchin days and Sinofsky's knack for getting things done. ",1
"Now maybe a printed e-statement is acceptable under the Virginia law, but WHY should I have to show my private financial documents to a stranger in order to vote, whether it @ @ @ @ @ @ @ @ @ @n't this discourage lower-income voters who might be embarrassed about showing such documents? I DO have a driver's license, but there are many elderly and [PET_BOUNDARY]disabled[PET_BOUNDARY] people living in my building who DO NOT. ",1
But sharks aren't the animals you should be most afraid of. Here are some that are much more likely to cause your [PET_BOUNDARY]demise[PET_BOUNDARY].,1
"The real differences are issues of scale, pace, and understanding (good financial metrics pertaining to the influence of HR on sustained bottom line profitability are fairly new). (Flexibility in the workforce has definitely also been a growing trend over the last 20 years or so and will likely become an increasingly hotly contested @ @ @ @ @ @ @ @ @ @ what's the cost of [PET_BOUNDARY]letting someone go[PET_BOUNDARY] if you can't get them back when you need them?)) ",1
You want proof of some real stupidity? Tell me a race of folk who decided one fine day to make a homeland right inside the Arab heartland by force stealin all the native land and killin most of these guys and still they are [PET_BOUNDARY]expecting[PET_BOUNDARY] to be treated with peace. If that wasnt uber-stupid then maybe they have a death wish of sumethin.,0
"Sixty years later, Britain's decision to [PET_BOUNDARY]pull the plug[PET_BOUNDARY] on funding to India was met with little more We don't really need the aid, ""P. Chidambaram, the finance minister, said last week."" We have accepted it in the past, but I think both countries have agreed that we can emphasize on trade rather than aid. """,0
"It certainly has never sneered at the floating ax, nor the fleece of Gideon, nor the story of Jonah, nor any others. Nor has it set itself up as a judge of what might be ethically proper or improper for the Ruler of this earth to do in dealing with the vile and utterly-depraved inhabitants of Canaan, with Sodom and other scenes of catastrophes in which thousands of the innocent have suffered and [PET_BOUNDARY]perished[PET_BOUNDARY]; it still holds fast to the theory that what is done by the Judge of all the earth is right. ",1
"French Revolution, Italian Risorgimento, German Kulturkamp, Mexican Cristero War, Soviet @ @ @ @ @ @ @ @ @ @ Why should we be surprised that America may also slip into persecuting Christians? Christ reminded us that no earthly kingdom can save the world, and Augustine reminded us that all earthly kingdoms [PET_BOUNDARY]pass away[PET_BOUNDARY] into the sands of time. ",0
"Familes with kids are the recipients of most ""perceived"" tax give-aways because they can vote yes by saying they did it for the children. A huge group of [PET_BOUNDARY]low-income[PET_BOUNDARY] families do not stand to benefit from non-refundable credits and deduction spiffs because their income tax rate @ @ @ @ @ @ @ @ @ @ deduction already pushes them into the standard vs itemized posture. Arguing specifics only serves to garner political capital rather than properly shaping tax policy for the country. ",1
"Article 38 Citizens who have the right to vote and to stand for election and have reached the age of 23 are eligible to be elected people's assessors, but persons who have ever been [PET_BOUNDARY]deprived[PET_BOUNDARY] of political rights are excluded functions in the people's courts, the people's assessors are members of the divisions of the courts in which they participate, and enjoy equal rights with the judges.",0
The biotech stated that it has produced several nanoparticle-based vaccine candidates and is evaluating them in animal models in an effort to select the most promising one for testing in humans. Novavax expects to begin a phase 1 clinical study of a COVID-19 vaccine by [PET_BOUNDARY]late[PET_BOUNDARY] spring.,0
"The industry heavyweights President Obama [PET_BOUNDARY]neutralize[PET_BOUNDARY]d through the summer are agitating that the health-care bills in Congress violate agreements they made with the White House, leave 25 million Americans uninsured and have the potential to increase medical costs.",0
"Walt's breaking to the dark side commences as early as the Pilot when the pitch-perfect Bryan Cranston as our ""hero"", bashfully blackmails his former student Jesse (a tragic character so stunningly portrayed by Aaron Paul ) into cooking meth with him. Walt initially pursues this extreme measure as an attempt to secure his family's future beyond his own [PET_BOUNDARY]demise[PET_BOUNDARY] from lung cancer. The audience sympathetically goes along feeling as though this is a genuine and clever masterplan, albeit illegal ( meh.). ",1
"According to Joe Mattes, vice president of e-commerce at Turner Sports, Earnhardt Jr., Gordon and Stewart rank as the top three in sales at NASCAR.com. Earnhardt remains a top-10 seller, but Mattes said the revenue is spread more evenly than 10 years ago, when there was a drop-off in demand beyond the [PET_BOUNDARY]late[PET_BOUNDARY] superstar's products. ",1
"Even the lowliest web intern was hired in some small way to be an agent of change, and anyone tasked with making changes is in for a rough ride. At one job a few years ago, I was alternately cheered for blazing trails, scolded for being too deliberate, and patted on the head for [PET_BOUNDARY]expecting[PET_BOUNDARY] too much. And it wasn't easy to predict which reaction I would get. ",0
"The really sad thing is, Joe doesn't even realize he voted for his own [PET_BOUNDARY]demise[PET_BOUNDARY]. They don't understand that eventually you will run out of other people's money to spend. ",0
"Although you certainly wouldn't want to belittle the very real issue of poverty in DC's [PET_BOUNDARY]low-income[PET_BOUNDARY] black neighborhoods, one also needs to acknowledge that there are some very large and distinct wealthy nonwhite communities in the suburbs, and that a fair percentage of gentrifiers in DC are actually black. Race is a more complicated issue than ever. ",1
"""We should have scored a one-two finish, but Jenson was [PET_BOUNDARY]deprived[PET_BOUNDARY] of an easy second place by a fuel system problem,"" he said. "" That's frustrating for him and frustrating for us, but the important thing is that our car is a winner. We've now won three grands prix in a row, and both our drivers are on top form.",0
"Among those services was gravedigging-- which explains how I found myself, on a cold winter's evening, helping dig the grave for the [PET_BOUNDARY]late[PET_BOUNDARY] Reverend James Simon, an esteemed member of the community. My colleagues in this task, all local people, were good natured, and leavened our grim enterprise with jokes. ",1
"It wouldn't be surprising for McGwire to come home ( he grew up in L.A. County @ @ @ @ @ @ @ @ @ @. As soon as the Angels [PET_BOUNDARY]dismissed[PET_BOUNDARY] Mickey Hatcher as hitting coach last spring, I wondered whether they would contact McGwire this offseason. He's made it no secret he'd like to be closer to his family in Orange County. ",1
"JustMeAngie worked in the field of human services until deciding to become a stay-at-home mom while skepticalProgrammer, as his name suggests, is a computer programmer. We are currently [PET_BOUNDARY]expecting[PET_BOUNDARY] our first (and only!) little one in just a few weeks. No God Needed, Thank You Very Much ",1
it is amazing i am still reading so much blame on the government for the massive loss of jobs. as if they were fired or [PET_BOUNDARY]laid off[PET_BOUNDARY] by obama or the state governors.,1
"Time after time we see the intelligence, patience, and foresight of an extraordinarily gifted man on display as our EXCELLENT president accomplishes one more notable achievement with the liberation of the people of Libya and the [PET_BOUNDARY]demise[PET_BOUNDARY] of the dictator. What else is new? ",1
"He agreed with Wieler with regards to the time curve and the progression of the pandemic. ""France and Germany are where Italy was at the beginning of the month. They are [PET_BOUNDARY]late[PET_BOUNDARY] in implementing measures and will get to a point where they will have a harsher level of contagion."" Merkel expects 60 to 70 per cent to get infected ",0
"People say, ""Get a job!"" But they don't understand it's not that easy for deaf and hard of hearing or [PET_BOUNDARY]hearing impaired[PET_BOUNDARY] people because prospective employers won't communicate with us with the tools we use. They put our applications aside and we never ""hear"" from them.",1
"Seven began to enter equations into a console. ""I can increase the resonance by 32% hours to [PET_BOUNDARY]neutralize[PET_BOUNDARY] the Omega particles.""",0
"3: Relentless passion for Windows (think ""Longhorn""): Ever since Jim Allchin was [PET_BOUNDARY]let go of[PET_BOUNDARY], the intense enthusiast passion for Windows has all but died, and Microsoft needs to get it back. How, you ask? ",1
"I think he deserves an encomium for tipping into the expansive shoes of the sage, Obafemi Awolowo, by forging a united bunch out of disparate broomsticks. But honestly, I do not think he has the intellectual grit, ideological purpose and discipline of the [PET_BOUNDARY]late[PET_BOUNDARY] former premier of the western region. Jagaban... ",1
"She [PET_BOUNDARY]let go of[PET_BOUNDARY] the fear. She let go of the judgments. She let go of the confluence of opinions swarming around her head. She let go of the committee of indecision within her. She let go of all the' right' reasons. Wholly and completely, without hesitation or worry, she just let go.",0
"they keep saying that the cuts won't affect patient care, only what medicare pays hospitals, etc. that makes no sense to me. if thousands of health-care workers are being [PET_BOUNDARY]laid off[PET_BOUNDARY], of course that will affect patient care. how could it not??",1
"The prevailing ideas entertained by him and most of the leading statesmen at the time of the formation of the old constitution, were that the enslavement of the African was in violation of the laws of nature; that it was wrong in principle, socially, morally, and politically. It was an evil they knew not well how to deal with, but the general opinion of the men of that day was that, somehow or other in the order of Providence, the institution would be evanescent and [PET_BOUNDARY]pass away[PET_BOUNDARY]. This idea, though not incorporated in the constitution, was the prevailing idea at that time. ",0
"Whatever Tilson's purportedly progressive statements might be, they are there as a rhetorical distraction, the solicitous comments of the Good Cop, meant to [PET_BOUNDARY]neutralize[PET_BOUNDARY]/eliminate traditional Democratic support for teacher's unions, while his Bad Cop pals like Michelle Rhee set the stage for the main act: the looting of the public schools.",1
"These are the Kaleds, who are fighting a war with the Thals for dominance of Skaro. Soon, Ravon boasts, they will [PET_BOUNDARY]exterminate[PET_BOUNDARY] the Thals from the face of Skaro! The Doctor notices that ""Kaled"" is an anagram of something familiar... ",1
Only a fraction of Lockheed's workers ultimately would be [PET_BOUNDARY]let go[PET_BOUNDARY] as a result of the cuts. But the company plans to send out mass notifications because it is unsure exactly which employees would be affected. The White House Office of Management and Budget has not yet provided guidance for how sequestration would be carried out.,1
surrender a valid out of state license or an out of state license [PET_BOUNDARY]expired[PET_BOUNDARY] less than two years.,0
"I haven't read all the comments yet, but just wanted to let you know I'm in the' woo hoo!' camp, Courtney, and want to affirm your choice to [PET_BOUNDARY]let go of[PET_BOUNDARY] the car.",0
"And if the Northeast Republican establishment maintains its current stranglehold on it, it's pretty much over. @ @ @ @ @ @ @ @ @ @n't ascared a you! President Barack Obama bluntly told John McCain and other Republicans to [PET_BOUNDARY]lay off[PET_BOUNDARY] their attacks against U.N. Ambassador Susan Rice over the Benghazi assault, telling lawmakers that if they go after her ""then you have a problem with me."" And Obama, speaking at his first post-election press conference, vowed that Republican opposition would not dissuade him from nominating Rice to replace departing Secretary of State Hillary Clinton. ",0
"Diamonds Are Forever. Assuming that you count Blofeld's final [PET_BOUNDARY]demise[PET_BOUNDARY] as happening in this film, then the Biggest Bad in Bond history is killed because 007 gently swings his submarine into the side of the oil rig. Hardly the demise you'd expect for such a major character. ",1
"Until Malaysia let her know she wasn't the one, then Laura becomes sweet. Don't like Gloria AT ALL-and if she [PET_BOUNDARY]slept with[PET_BOUNDARY] Laura's man AFTER he was Laura's man-that would be pretty weird and it would make sense that that would be the fight they don't air and that Laura won't give any names on. Gloria seems so stuck up, but in reality she is covering up her insecurities-which was showcased when Matt said he just now getting into her. ",1
"Risk compensation is the notion that individuals modify their behavior in response to real or perceived changes in risks. Pinkerton has defined risk compensation as ""any behavioral change that acts to offset a reduction in risk resulting from other changes"". 7 Risk homeostasis theory has been used to describe this phenomenon. 8 Accordingly, sexual risk compensation in the context of MC is characterized by someone knowing that they are less likely to contract HIV and responding to this reduced risk by increasing behaviors associated with greater risk of HIV transmission, such as not using condoms, increasing the number sexual partners, increasing the frequency of higher-risk sex (e.g. anal sex versus vaginal sex), or increasing the frequency of sex with high-risk partners ( e.g. [PET_BOUNDARY]sex workers[PET_BOUNDARY] @ @ @ @ @ @ @ @ @ @ have been used interchangeably in the public health literature. The concept of sexual risk compensation implies that a change in potential harm has occurred and is in turn being countered by a change in one's level of risk behavior. ",1
"The 12-member Save Our Bookstore is trying to overthrow the group's board of directors because, the group says, the board wrongfully [PET_BOUNDARY]dismissed[PET_BOUNDARY], denied memberships to and forced the resignations of many people who once worked for the nonprofit library @ @ @ @ @ @ @ @ @ @ response to allegations of inappropriate behavior against some Friends volunteers and members. ",1
"Nothing serious, just long nights of me hacking like an emphysema patient at a bonfire. With all my caterwauling, it's a wonder anyone gets any [PET_BOUNDARY]sleep around[PET_BOUNDARY] here. After we did the usual brushing of teeth and shaking off of cobwebs, we walked across Dana Drive to the Costco and availed ourselves of the rich buffet of Saturday samples. ",0
"I'd been so busy wondering what he was going to do and [PET_BOUNDARY]expecting[PET_BOUNDARY] him to do something, that I'd completely forgotten to do anything myself. I felt like an idiot and this made me smile and I hadn't wanted to. ",0
i nearly fell out of my chair laughing. of course the actual problem being discussed makes a person despair for the future of civilization. but there are worse ways to [PET_BOUNDARY]expire[PET_BOUNDARY] than laughing until you can't breath.,1
"Protecting kids from ""seeing too much,"" however, is something that's easier to do if you're a middle-class or high-earning sex worker. For many [PET_BOUNDARY]low-income[PET_BOUNDARY] parents, trading sex may mean knowing that their kids will grow up with an awareness of the sex industry. This is simply reality. ",1
"The central bank has been on its toes throughout the month, cushioning sharp losses in the rupee through its interventions in the spot as well as derivatives market. In March, the RBI sold $17.33 bln, reducing its arsenal of foreign exchange reserves to $469.91 bln that they have been stocking up since [PET_BOUNDARY]late[PET_BOUNDARY] September. ",0
"since last Season an Actor and Actress returned to Drury-Lane under @ @ @ @ @ @ @ @ @ @ as were in no degree equal to their Merit; and yet, at the beginning of this Season, were [PET_BOUNDARY]dismissed[PET_BOUNDARY], after having been from their Infancy on the Stage, and having no other Professions to live by, and very numerous Families to support. ",1
"Of the 91 students who were considered chronically absent for the 2011-12 school year, 65 percent were Latino, African American, Asian or Pacific Islander and 75 percent qualified for free or reduced lunch services. Average daily attendance effects the amount of funding a school receives from the state. Students who miss more days of school are less likely to [PET_BOUNDARY]pass on[PET_BOUNDARY] to the next grade or graduate once in high school, according to school officials.",0
"Mxe 354: ""Show me how it can be not transphobic and perhaps I'll change my mind."" Most men would not want to [PET_BOUNDARY]sleep with[PET_BOUNDARY] a woman who was assigned a different gender at birth. Who cares why? It does not matter. Consent however, that it has to do with how the men in question define their sexuality and their refusal to acknowledge the woman in question as ""a real woman"".",1
"Several jokes throughout the series depend on the audience noticing that a single letter or a few letters in a sign or advertisement are blocked or obscured. @ @ @ @ @ @ @ @ @ @ sits in front of an Army Recruitment poster that says ""Army Officer,"" but Buster blocks enough of those words for the sign to read just ""Arm Off."" When Carl Weathers and Tobias eat at Burger King to fulfill Weathers' fictional contractual obligation (as well as the show's real product placement deal), whenever a poster advertising the ""Angus Burger"" sandwich is visible in any scene, the letter ""g"" in the word ""Angus"" is partially or completely obscured, leaving a decidedly less appetizing name for the sandwich. Before Michael discovers that Rita is [PET_BOUNDARY]mentally challenged[PET_BOUNDARY], we see her in front of a ""Wee Britain"" sign blocking the ""it""-in ""Britain""-- so that the sign reads "" Wee Brain.",1
"My problem with the effects of religion: Christianity supports attitudes toward human elimination. (their belief in a apocalypse). The acceptance of these beliefs, leaves humans' powerless' to change what' god' has ordained as humans' future [PET_BOUNDARY]demise[PET_BOUNDARY] on planet Earth. It's as if, they want to destroy the world because then Jesus will return and take them to a better world. ",1
The personal trauma of this atmosphere hit home for me last week upon hearing that just such a person as the latter-- a dear friend who went to work for a local hospital from college-- was [PET_BOUNDARY]laid off[PET_BOUNDARY] after 20 years of exceedingly dedicated performance. Sue (not her real name) was a middle management poster girl for this organization.,1
"However, most social workers are added to defense teams composed of public defenders representing [PET_BOUNDARY]indigent[PET_BOUNDARY] clients. Consequently, there is a risk that social workers' role will be restricted because of misconceptions about the full range of their potential as defense team members. ",1
"Cordeiro had issued an apology for the arguments [PET_BOUNDARY]late[PET_BOUNDARY] Wednesday night while the women's team was still on the field against Japan. He added the federation had retained new legal counsel, a move the men's national team on Thursday called ""window dressing"" and ""a sleight of hand."" ",0
"Breastfed infants were not entirely free from diarrheal deaths, however, and such deaths occurred more frequently in [PET_BOUNDARY]indigent[PET_BOUNDARY] families. In these infants, diarrhea may have been domestically transmitted via a fecal-oral route from an unsanitary environment. ",1
